SampleID,Cruise,Station,Year,Month,Season,HNF_Biom,Bac_Biom,Temp,Sal,PAR,NO2,NO3,DIN,PO3,Chla
Or2Cr2241St05,Cr2241,St05,2017,5,Spring,1.532796173,24.19084796,25.2855,34.4413,0.044301,0.063124201,1.107824952,1.170949153,0.055862799,1.0552125
Or2Cr2241St07,Cr2241,St07,2017,5,Spring,1.169793109,24.45523563,25.3139,34.374,29.02,0.070488691,1.376202259,1.44669095,0.118791526,2.320233333
Or2Cr2241St09,Cr2241,St09,2017,5,Spring,1.479289941,10.79391846,20.6365,34.5641,7.9804,0.064176271,2.606178364,2.670354636,0.385687681,1.481
Or2Cr2241St11,Cr2241,St11,2017,5,Spring,1.500272777,11.14358589,22.9742,34.4799,0.35753,0.136769103,1.856109556,1.992878659,0.24881158,1.2033125
Or2Cr2243St01,Cr2243,St01,2017,6,Summer,3.311353813,103.8295535,24.3885,29.9792,11.383,0.656255192,0.441187384,1.097442576,0.0725058,2.96898463
Or2Cr2243St03,Cr2243,St03,2017,6,Summer,1.531747031,93.6713862,24.5873,33.3038,1.888,0.045688653,0.50658556,0.552274213,0.010357971,0.977366667
Or2Cr2243St05,Cr2243,St05,2017,6,Summer,0.445885266,41.64624039,25.5296,34.3432,1.3698,0.004153514,0.988871401,0.993024914,0,0.246917031
Or2Cr2243St07,Cr2243,St07,2017,6,Summer,1.076419489,29.97286791,27.2802,34.1864,1757.9,0.029074597,0,0.029074597,0.020715943,0.96833
Or2Cr2243St09,Cr2243,St09,2017,6,Summer,1.531747031,26.25726761,27.3348,34.2958,189.36,0,0.055745144,0.055745144,0,0.195133664
Or2Cr2243St11,Cr2243,St11,2017,6,Summer,0.923244786,26.34913111,26.5848,34.0084,12.208,0,0.005161775,0.005161775,0,0.349727845
Or2Cr2245St01,Cr2245,St01,2017,6,Summer,2.098283604,57.20875298,24.1398,32.6619,22.393,0.178921418,0,0.178921418,0,0.2705
Or2Cr2245St03,Cr2245,St03,2017,6,Summer,0.524570901,104.7551394,25.3129,33.7004,355.53,0.033462403,0,0.033462403,0,0.2507
Or2Cr2245St05,Cr2245,St05,2017,6,Summer,1.557975576,80.53392502,25.7953,33.4947,1.7197,0.089153915,0,0.089153915,0.030142272,0.1469
Or2Cr2245St07,Cr2245,St07,2017,6,Summer,1.652398338,19.9097487,27.5066,34.9407,975.29,0.100500676,1.136510704,1.237011381,0.105347958,0.2097
Or2Cr2245St09,Cr2245,St09,2017,6,Summer,0.648369634,96.22047611,27.0534,33.6898,1.4521,0.021192324,0,0.021192324,0,0.2825
Or2Cr2245St11,Cr2245,St11,2017,6,Summer,0.897016241,80.78428952,24.4732,33.9304,372.52,0.025576943,0,0.025576943,0,0.2582
Or2Cr2248St01,Cr2248,St01,2017,7,Summer,1.529648747,58.51505912,27.0281,25.4836,172.48,0,0,0,0,8.440905
Or2Cr2248St03,Cr2248,St03,2017,7,Summer,1.809769608,32.87345112,26.8437,34.2003,1.0233,0,0,0,0.02,0.109519086
Or2Cr2248St05,Cr2248,St05,2017,7,Summer,0.52981661,40.87914581,28.6547,33.037,0.63058,0,0.063961629,0.063961629,0,0.06488642
Or2Cr2248St07,Cr2248,St07,2017,7,Summer,0.702925007,32.23573065,29.1828,33.8793,1253.3,0,0.123685803,0.123685803,0,0.19959603
Or2Cr2248St09,Cr2248,St09,2017,7,Summer,1.657644047,33.88008341,28.8477,33.5281,254.97,0,0.065460651,0.065460651,0.08,0.434773308
Or2Cr2248St11,Cr2248,St11,2017,7,Summer,1.11209031,21.68804483,28.1803,33.9234,1.6129,0,0.065460651,0.065460651,0.08,0.434773308
