,Or2Cr2014St01,Or2Cr2014St03,Or2Cr2014St05,Or2Cr2014St07,Or2Cr2014St09,Or2Cr2014St11,Or2Cr2023St03,Or2Cr2023St05,Or2Cr2023St07,Or2Cr2023St09,Or2Cr2023St11,Or2Cr2039St01,Or2Cr2039St03,Or2Cr2039St05S,Or2Cr2039St07S,Or2Cr2039St09,Or2Cr2039St11,Or2Cr2046St01,Or2Cr2046St03,Or2Cr2046St05,Or2Cr2046St07,Or2Cr2046St09,Or2Cr2046St11,Or2Cr2053St01,Or2Cr2053St03,Or2Cr2053St05,Or2Cr2053St07,Or2Cr2053St09,Or2Cr2053St11,Or2Cr2099St01,Or2Cr2099St03,Or2Cr2099St05,Or2Cr2099St07,Or2Cr2099St09,Or2Cr2099St11,Or2Cr2109St01,Or2Cr2109St03,Or2Cr2109St05,Or2Cr2109St07,Or2Cr2109St09,Or2Cr2109St11,Or2Cr2164St01,Or2Cr2164St03,Or2Cr2164St05,Or2Cr2164St07,Or2Cr2164St09,Or2Cr2164St11,Or2Cr2183St01,Or2Cr2183St03,Or2Cr2183St05,Or2Cr2183St07,Or2Cr2183St09,Or2Cr2183St11,Or2Cr2192St01,Or2Cr2192St03,Or2Cr2192St05,Or2Cr2192St07,Or2Cr2192St09,Or2Cr2192St11,Or2Cr2241St01,Or2Cr2241St03,Or2Cr2241St05,Or2Cr2241St07,Or2Cr2241St09,Or2Cr2241St11,Or2Cr2243St01,Or2Cr2243St03,Or2Cr2243St05,Or2Cr2243St07,Or2Cr2243St09,Or2Cr2243St11,Or2Cr2245St01,Or2Cr2245St03,Or2Cr2245St05,Or2Cr2245St07,Or2Cr2245St09,Or2Cr2245St11,Or2Cr2248St01,Or2Cr2248St03,Or2Cr2248St05,Or2Cr2248St07,Or2Cr2248St09,Or2Cr2248St11
398,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0,0,0,0,0,0,0,0,0,0,292,0,0,133,0,51
399,0,0,11,19,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,63,88,15,0,0,0,0,0,0,17,0,0,31,45,611,0,0,24,75,24,52,0,0,0,9,0,13,0,17,0,52,22,12,0,82,0,126,19,0
400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,78,0,0,0,0,0,0,0,42,0,26,43,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,91,45,85,774,0,0,0,0,0,0,0,0,0,0,0,17,0,49,0,0,0,85
401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1323,0,0,0,36,0,0,0,0,0,0,0,0,0,0,83,0,0
402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,40,0,14,26,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,197,469,0,0,0,0,147,89,0,0,37,0,55,0,0,0,0,0,0,148
403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,119,0,0,0,0,76,0,0,0,170,105,0,0,0,76,119,214,102,0
404,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,127,137,21,48,24,52,78,12,0,0,0,0,0,30,0,27,0,0,40,82,173,0,104,103,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0
405,0,0,25,33,33,0,0,0,0,0,0,12,30,0,0,50,1,57,0,0,41,0,0,43,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,75,0,0,0,0,0,0,0,0,0,0,45,0,40,0,0,0,39,0,0,0,142,467,117,0,34,0,0,18,0,10,23,0,0,39,0,0,0,0,3,0,2
406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1421,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,930,0,0,0,0,0,0,0,277,114
408,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,25,0,0,0,21,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,1064,111,0,0,0,0,0,0,0,12,0,0,0,0,0
409,0,10,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136,0,0,16,0,0,0,0,0,0,0,1055,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0
410,0,0,0,0,0,0,0,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411,0,0,39,0,0,0,0,0,0,0,0,0,0,24,0,52,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,15,15,114,0,0,0,0,35,0,0,0,0,0,43,0,0,0,0,136,43,0,14,0,0,93,0,136,47,0,0,26,15,15,0,0,0,49,306,45,121
412,0,0,0,0,0,113,0,0,0,19,0,77,170,39,0,0,35,0,0,47,0,0,15,119,52,0,0,52,0,0,0,85,29,0,0,0,0,0,0,12,0,0,18,0,11,0,0,172,14,0,0,0,0,76,0,27,0,0,0,0,24,0,54,0,0,0,79,11,0,36,0,0,0,0,0,0,19,0,0,0,0,0,0
413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,0,0,0
414,0,0,0,21,0,0,0,0,0,0,0,0,10,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,0,32,8,0,0,0,0,0,0,0,0,224,0,0,292,0,166,0,0,0,89,0,0,93,0,0,0,0,0,27,0,40,209
415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,87,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,63,152,0,0,102,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,147,0,344
416,0,0,0,0,0,0,73,0,0,0,0,58,230,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,67,7,0,0,0,0,172,0,0,90,0,12,233,250,0,0,0,15,12,0,0,0,0,0,15,0,0,0,0,0,125,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,0,14,18,0,62,58,0,43,25,0,55,0,0,34,32,13,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,13,63,0,0,0,0,0,0,24,0,0,14,91,0,3,0,0,29,0,0,9,0,18,0,0,0,0,25,0,167,67,18,170,0,40,0,0,57,23,0,0,28,27,36,13,0,29,0,0,0,21
418,0,0,0,0,0,0,0,39,7,0,18,0,0,0,0,9,9,0,0,0,0,0,16,0,0,0,60,13,11,0,0,0,28,64,0,0,0,0,18,0,0,19,0,0,42,17,0,0,14,10,0,0,0,0,0,0,0,38,20,0,0,77,23,0,62,0,0,0,0,0,0,0,15,229,16,15,0,0,222,71,174,12,24
419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,26,9,111,12,0,0,0,0,0,0,0,0,0,0,6,0,177,114,20,80,122,181,35,47,37,0,0,18,59,31,87,0,22,43,0,91,0,0,0,44
420,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,25,0,0,0,0,0,0,0,0,485,803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
421,0,0,0,0,0,0,0,0,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,244,0,346,0,0,0,68,0,0,0,0,0,0,0,0
422,0,0,0,0,0,0,0,36,0,0,0,0,46,0,46,18,0,0,0,0,0,0,0,0,0,0,0,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,126,117,0,0,55,0,158,0,0,0,0,0,93,31,0,0,0,0,197,29,0,36,302
423,0,0,0,0,0,0,0,0,0,0,0,25,0,30,114,0,0,0,18,0,85,0,0,218,599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,58,113,0,0,0,63,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,274,0,0,0,0,0,0,0,0,0,0,71,0,0,0,55,0,0,0,0,0,0,0,28,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,0,0,0,0,56,0,0,0,114,0,0,0,0,0,0,422
425,0,16,37,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,81,0,0,0,0,0,0,0,0,38,0,0,0,52,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,72,125,0,26,0,150,114,0,0,54,0,24,0,100,0,208,0,0,0,79
426,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,45,134,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,55,77,51,0,179,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,78,67,0,0,0,53,0,40,0,0,0,0,0,0,165
427,0,0,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
428,0,10,26,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,206,0,0,0,1,53,252,55,52,34,0,0,15,53,21,0,0,51,119,0,0,0,90,17,48,53,0,0,0,0,0,0,0,0,0,0,0,0,0
429,0,25,0,34,28,19,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,52,0,15,0,0,18,0,0,0,0,0,0,12,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,233,40,47,0,0,0,66,274,40,16,0,60,21,75,18,0,0,0,0,0,62
430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,185,372,0,0,0,200,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,0,0,0,0,36,16,0,0,0,0,24,36,27,0,0,14,41,0,0,0,13,8,34,0,0,0,0,0,0,0,0,0,0,32,22,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,37,207,162,415,0,0,0,0,0,0,0,49,21,0,0,0,0,0,0,0,43,34
432,0,0,0,0,0,0,0,0,0,0,0,0,0,40,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,116,24,28,0,46,0,0,0,31,0,0,34,70,0,143,34,17,0,0,112,0,0,0,17,0,0,21,0,43,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,327,0,0
433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,0,319,0,0,0,0,0,0,0,0,0,0,0,0
434,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,52,0,0,0,0,0,0,0,0,0,0,312,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,75,0,36,0,0,347,0,0,0,0,151,86,175,0,0,0,0,0,0,0,0
435,0,0,62,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,45,200,24,0,0,0,0,0,0,0,0,97,30,71,0,0,0,0,0,0,0,0,0,0,0,14,0,36,70,0,0,0,83,36,14,0,0,0,0,0,21,146,50,0,0,0,236,62,13,0,0
437,0,0,0,0,15,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,29,0,0,0,0,0,0,107,255,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,24,23,10,0,0,7,0,14,0,55,0,0,0,0,427,0,0,0,38,0,188,0,0
438,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,11,0,0,0,34,14,0,0,0,26,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,129,85,101,0,18,0,0,56,0,0,109,51,33,31,0,0,160,0,0,0,224
439,0,14,36,31,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,21,91,14,0,89,0,0,0,0,0,0,20,0,48,0,80,19,0,18,37,0,60,14,47,0,0,0,0,0,92,32,47,17,0,0,97,282,59,0,0
440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,499,0,0,0,0,0,0,0,0,0,0,0,436,362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,31,0,0,0,0,0,6,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,707,0,0,0,86,0,42,0,0,0,0,0,0,0,28,0,0,0,0,23,0,0,0,103,123,0,19,0,0,0,0,25,0,0,0,0,0,0,0,73,0,0
442,0,11,58,56,0,17,9,0,0,0,10,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,0,35,7,4,9,9,0,2,0,13,0,0,96,43,0,22,0,0,0,0,0,0,0,13,0,0,12,0,21,12,33,21,67,122,28,0,0,6,0,0,12,41,42,14,22,82,81,138,45,40,13
443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,42,54,0,0,48,0,234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,0,0,0,0,0,151,230,174
444,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,53,124,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,45,0,0,0,0,0,0,0,0,0,31,57,93,0,0,0,145,221,295,43,0
445,54,0,6,0,0,32,0,5,8,18,77,0,12,0,6,22,24,0,0,17,0,0,3,64,56,4,10,15,4,0,5,47,138,66,106,0,0,0,0,0,0,22,0,0,2,0,39,5,20,9,0,0,0,0,5,0,0,0,8,19,10,34,9,2,8,7,16,6,1,8,0,12,33,3,1,3,23,91,8,6,13,33,15
446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,155,0,47,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,781,178,0,0
447,0,0,25,0,0,60,0,0,0,0,51,0,0,0,0,147,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,76,0,256,346,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0
448,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,22,27,14,0,0,0,0,120,0,0,0,89,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,149,0,0,0,0,0,0,0,0,0,0,0,18,27,344,112,75,25,0
449,0,0,26,13,0,0,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,50,61,0,102,0,0,0,20,43,0,0,0,58,55,140,0,25,0,0,0,64,28,211,0,0,35,0,0,18,12,25,0,5,0,52,38,53,0,19
450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
451,9,25,21,31,0,122,48,172,0,76,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,101,114,0,0,0,0,0,0,26,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,175,0,0,0,0,47,0,0,0,0,0,0,0,96,0,0,0,0,0,0,0,0,0
452,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,815
453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,56,69,0,0,0,0,0,35,0,0,0,0,59,0,0,0,0,0,0,0,83,0,0,17,0,19,0,0,24,23,0,0,0,0,0,199,455,128,21
454,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,67,141,0,0,60,0,0,0,0,0,0,0,55,62,144,0,0,0,0,46,26,53,0,0,0,0,0,0,0,0,51,56,24,0,0,80,58,209,39,0
455,0,0,0,0,0,0,0,7,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,98,0,213,69,0,0,45,0,0,0,0,0,137,94,0,14,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,151,129,46,93
456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,16,12,0,0,0,0,0,0,0,0,0,0,94,81,101,108,0,0,158,0,106,50,59,0,70,0,0,0,0,29,0,77,81,62,57,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,99,0,94,0,58,19,91,0,0,0,11,72,64,88,0,0,21,19,0,61,0,0,45,0,0,0,0,21,43,0,0,0,0,90,89,107,0,81
459,0,0,359,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,287,0,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,37,0,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,103,0,0,0,0,0,0,36,0,0,0,0,0,18,463,0,57,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,45,56,0,0
461,0,0,51,15,0,0,0,0,23,0,0,0,0,0,40,35,0,0,0,308,112,52,7,13,17,6,0,76,27,0,0,0,0,0,33,0,0,0,0,0,0,16,0,146,79,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,18,41,17,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,36,93,201,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507,0,0,0,0,0,56,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,575,0,0,0,0
464,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,23,0,0,97,0,55,80,25,272,0,52,0,0,200,84,0,14,19,8,29,19,0,31,0,0,0,0
465,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0,0,0,336,0,0,0,0,0,0,0,0,0,35,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,165,135,0,0,0,261,0,0,0,0,0,0,259,85,0,0,0,0,0,0
467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,315,0,0,0,0,849,0,0,0,0,0
468,0,0,92,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,104,0,0,42,0,314,0,0,170,0,114,0,0,62,0,0,0,42,111,0,0,0
469,0,0,40,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,66,150,47,76,42,26,8,327,0,116,8,0,36,28,41,0,0,0,26,0,0,0,22
470,0,0,25,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,53,53,0,0,0,0,0,0,0,0,234,295,0,0,0,0,0,0,0,0,33
471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430,0,68,64,0,0,0,0,41,0,0,0,44,50,25,0,0,105,0,0,0,0
472,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,31,6,0,0,0,9,0,0,0,4,0,0,0,0,0,1065,0,0,11,0,0
473,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,848,0,0,0,0,0,0,0,0,0,0,0,115,0,0,88,0,0
474,0,0,28,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,7,0,0,18,41,12,0,0,0,0,0,0,0,0,14,0,49,116,0,8,0,100,31,18,199,54,66,0,32,0,0,39,0,25,0,10,0,159,0,27,0,0
