SampleID,SampleBacID,Ship,Cruise,Station,Year,Month,DateID,Season,predator_biomass,PNFB,HNFB,prey_biomass,ABB,HBB,Temp,Sal,PAR,NO2,NO3,DIN,PO3,Chla
S18F12Or2Cr2046St11SC35B,Or2Cr2046St11,Or2,Cr2046,St11,2014,8,2014/8,Summer,2.596590909,6.529499606,2.596590909,23.70814555,18.32705811,14.85258138,27.6725,34.0667,390.92,0.020949374,0,0.020949374,0.060031725,0.868599128
S18F12Or2Cr2053St01SC40B,Or2Cr2053St01,Or2,Cr2053,St01,2014,9,2014/9,Autumn,2.479884459,9.250599664,2.479884459,28.77569315,19.97778991,11.6247223,30.0023,29.4714,0.16947,0.61172171,3.828683026,4.440404737,0.360190348,1.456289602
S18F12Or2Cr2053St03SC40B,Or2Cr2053St03,Or2,Cr2053,St03,2014,9,2014/9,Autumn,3.344575797,4.261671033,3.344575797,47.06355974,65.44727756,17.88823736,29.6237,31.2622,0.080336,0.083797495,0.227168433,0.310965928,0.070037012,1.003509206
S18F12Or2Cr2053St05SC40B,Or2Cr2053St05,Or2,Cr2053,St05,2014,9,2014/9,Autumn,3.800483161,1.873289852,3.800483161,18.21295743,11.06041583,13.37457447,29.0131,33.8422,443.49,0.020949374,0,0.020949374,0.060031725,0.267972071
S18F12Or2Cr2053St07S,Or2Cr2053St07,Or2,Cr2053,St07,2014,9,2014/9,Autumn,2.496571902,2.915755675,2.496571902,21.24764254,20.32762382,11.75397016,28.8801,33.5676,1047.6,0.020949374,0.136807983,0.157757356,0.070037012,0.377008983
S18F12Or2Cr2053St09SC40B,Or2Cr2053St09,Or2,Cr2053,St09,2014,9,2014/9,Autumn,3.348427429,2.196686656,3.348427429,21.54962541,21.99942666,11.0286955,29.5765,33.6789,796.24,0.134075991,0.99872822,1.132804212,0.360190348,0.478653562
S18F12Or2Cr2053St11SC40B,Or2Cr2053St11,Or2,Cr2053,St11,2014,9,2014/9,Autumn,2.730214245,3.116151582,2.730214245,24.85820119,21.91054601,14.05024344,29.5765,33.6789,796.24,0.134075991,0.99872822,1.132804212,0.360190348,0.478653562
S18F12Or2Cr2099St01S,Or2Cr2099St01,Or2,Cr2099,St01,2015,6,2015/6,Summer,1.780543515,0.978246603,1.780543515,104.609965,138.3729588,41.09603278,23.5989,30.5917,5.0405,0.938769231,4.607771497,5.546540728,0.103571429,0.815803745
S18F12Or2Cr2099St03S,Or2Cr2099St03,Or2,Cr2099,St03,2015,6,2015/6,Summer,3.232405892,2.893783098,3.232405892,29.08353402,26.67087009,16.37413857,25.4583,34.1464,408.76,0.112153846,0,0.112153846,0.0725,0.297428449
S18F12Or2Cr2099St05S,Or2Cr2099St05,Or2,Cr2099,St05,2015,6,2015/6,Summer,1.416341433,2.211073044,1.416341433,91.98720075,133.5434229,29.9919019,26.2227,33.995,117.05,0.103846154,0,0.103846154,0.051785714,0.438494513
S18F12Or2Cr2099St07S,Or2Cr2099St07,Or2,Cr2099,St07,2015,6,2015/6,Summer,1.428931134,1.726369532,1.428931134,30.377988,22.5616275,18.25909238,26.2227,33.995,117.05,0.103846154,0,0.103846154,0.051785714,0.438494513
S18F12Or2Cr2099St09S,Or2Cr2099St09,Or2,Cr2099,St09,2015,6,2015/6,Summer,2.576954551,0.806979784,2.576954551,47.99162375,50.44660838,23.3285577,26.2574,34.086,1E-12,0.016615385,0.050376093,0.066991478,0,0.362012912
S18F12Or2Cr2099St11S,Or2Cr2099St11,Or2,Cr2099,St11,2015,6,2015/6,Summer,1.00717613,3.774499693,1.00717613,68.2920521,49.73940805,44.0226526,25.376,34.2973,346.55,0.029076923,0.102360125,0.131437048,0,0.958468932
S18F12Or2Cr2109St01SN,Or2Cr2109St01,Or2,Cr2109,St01,2015,7,2015/7,Summer,0.494145789,5.416303931,0.494145789,34.59360054,28.32599048,21.91586323,25.4887,31.9087,10.86,1.231730769,6.063157237,7.294888006,0.580357143,3.318674582
S18F12Or2Cr2109St03SN,Or2Cr2109St03,Or2,Cr2109,St03,2015,7,2015/7,Summer,0.478408662,9.522877095,0.478408662,56.17126923,38.31901841,38.26875076,26.5942,33.977,1851.7,0.908653846,0.296006558,1.204660405,0.357142857,1.145523275
S18F12Or2Cr2109St05SN,Or2Cr2109St05,Or2,Cr2109,St05,2015,7,2015/7,Summer,0.607453103,2.450330948,0.607453103,70.95771809,84.79788603,32.40257889,27.0729,33.9503,914.29,0.040384615,0.160392119,0.200776734,0.089285714,0.662479019
S18F12Or2Cr2109St07SN,Or2Cr2109St07,Or2,Cr2109,St07,2015,7,2015/7,Summer,0.327332242,4.5314622,0.327332242,61.24784612,55.76161444,34.59375035,26.6578,32.9772,0.05797,0.181730769,0.621376167,0.803106936,0.145089286,3.372223118
S18F12Or2Cr2109St09SN,Or2Cr2109St09,Or2,Cr2109,St09,2015,7,2015/7,Summer,0.446934408,4.343768499,0.446934408,67.28053388,29.43339982,52.99156991,26.0203,34.3675,488.4,0.060576923,0.140199811,0.200776734,0.100446429,1.944740506
S18F12Or2Cr2109St11SN,Or2Cr2109St11,Or2,Cr2109,St11,2015,7,2015/7,Summer,0.89072139,2.6153364,0.89072139,55.48500986,51.01809815,29.73154849,25.6581,34.3524,95.855,0.064615385,0.069235771,0.133851156,0.145089286,1.403944663
S18F12Or2Cr2164St01SN,Or2Cr2164St01,Or2,Cr2164,St01,2016,5,2016/5,Spring,1.384867179,14.76111264,1.384867179,52.65860151,6.852268172,49.59176238,20.991,28.8777,181.95,1.981810746,8.094742884,10.07655363,0.210111036,0.751563015
S18F12Or2Cr2164St03SN,Or2Cr2164St03,Or2,Cr2164,St03,2016,5,2016/5,Spring,1.809769608,4.622215198,1.809769608,102.5801517,4.849548521,98.43227585,22.5199,32.7648,474.65,0.146645615,0.05596604,0.202611655,0.04002115,2.086649158
S18F12Or2Cr2164St05SN,Or2Cr2164St05,Or2,Cr2164,St05,2016,5,2016/5,Spring,0.462671535,4.47577286,0.462671535,40.96122155,20.6020938,27.99015836,26.4716,34.6173,148.46,0.020949374,0.033779659,0.054729033,0.060031725,0.723864133
S18F12Or2Cr2164St07SN,Or2Cr2164St07,Or2,Cr2164,St07,2016,5,2016/5,Spring,0.878131688,4.519086791,0.878131688,27.75657284,19.41931756,16.71347318,26.3167,34.5822,202.11,0.083797495,0,0.083797495,0.0800423,0.363778659
S18F12Or2Cr2164St09SN,Or2Cr2164St09,Or2,Cr2164,St09,2016,5,2016/5,Spring,0.978849301,4.543837609,0.978849301,46.89470504,65.73134086,16.54718201,25.1797,34.3426,102.49,0,0,0,0,0.613068602
S18F12Or2Cr2164St11SN,Or2Cr2164St11,Or2,Cr2164,St11,2016,5,2016/5,Spring,0.566536573,13.38606722,0.566536573,28.77504003,32.30041872,12.68618439,23.2437,34.5191,465.44,0.07960762,0.521597832,0.601205452,0.130068737,1.375392793
S18F12Or2Cr2183St01SN,Or2Cr2183St01,Or2,Cr2183,St01,2016,8,2016/8,Summer,25.56681147,6.976244344,18.59056713,47.17296725,32.49908748,14.67387977,28.6751,32.7074,1E-12,0,0,0,0.041428571,0.163008889
S18F12Or2Cr2183St03SN,Or2Cr2183St03,Or2,Cr2183,St03,2016,8,2016/8,Summer,36.90074405,13.05104167,23.84970238,40.17256949,15.51376034,24.65880915,28.8622,33.4839,1E-12,0.434358974,0,0.434358974,0.051785714,0.150541489
S18F12Or2Cr2183St05SN,Or2Cr2183St05,Or2,Cr2183,St05,2016,8,2016/8,Summer,20.31563416,2.548209914,17.76742424,46.61834196,19.34450838,27.27383358,28.8242,33.6526,0.20423,0.038076923,0,0.038076923,0.145,0.1671734
S18F12Or2Cr2183St07SN,Or2Cr2183St07,Or2,Cr2183,St07,2016,8,2016/8,Summer,17.69813628,2.935397279,14.762739,52.73709808,32.83366453,19.90343355,29.2294,33.9281,978.11,0,0,0,0,0.182829108
S18F12Or2Cr2183St09SN,Or2Cr2183St09,Or2,Cr2183,St09,2016,8,2016/8,Summer,NAN,NAN,NAN,37.41431335,18.83360369,18.58070967,29.5277,33.819,789.93,0.004230769,1.276012275,1.280243045,0,0.169257289
S18F12Or2Cr2183St11SN,Or2Cr2183St11,Or2,Cr2183,St11,2016,8,2016/8,Summer,12.8170363,3.653313472,9.163722826,18.05967538,7.435360772,10.62431461,29.5824,34.0931,35.396,0,2.611786093,2.611786093,0,0.114585517
S18F12Or2Cr2192St01SN,Or2Cr2192St01,Or2,Cr2192,St01,2016,9,2016/9,Autumn,0.366059259,1.313766227,0.366059259,36.62750699,39.75670316,18.83377655,25.4158,31.9492,105.77,1.607692308,0,1.607692308,0.145,2.363835772
S18F12Or2Cr2192St03SN,Or2Cr2192St03,Or2,Cr2192,St03,2016,9,2016/9,Autumn,0.361619089,1.608364304,0.361619089,27.41738219,21.7444951,17.68529543,26.5939,33.9768,1795.3,0.22,0.028520362,0.248520362,0.0725,1.3577968
S18F12Or2Cr2192St05SN,Or2Cr2192St05,Or2,Cr2192,St05,2016,9,2016/9,Autumn,0.3839859,0.649708964,0.3839859,76.24509827,114.799365,24.86485814,27.0512,33.9488,881.47,0.148076923,0,0.148076923,0.134642857,0.673815144
S18F12Or2Cr2192St07SN,Or2Cr2192St07,Or2,Cr2192,St07,2016,9,2016/9,Autumn,0.324184817,0.979719866,0.324184817,38.48242614,65.76762237,8.739450361,26.658,32.9768,0.050583,0,0,0,0.134642857,0.490902328
S18F12Or2Cr2192St09SN,Or2Cr2192St09,Or2,Cr2192,St09,2016,9,2016/9,Autumn,0.205266874,0.952816803,0.205266874,39.74712096,52.42978777,13.81738251,26.0356,34.3713,492.54,0,0,0,0,0.475367531
S18F12Or2Cr2192St11SN,Or2Cr2192St11,Or2,Cr2192,St11,2016,9,2016/9,Autumn,0.179403248,0.83121496,0.179403248,21.08572606,24.26344401,9.170908648,25.6581,34.3524,95.855,0.160769231,0,0.160769231,0,0.164989371
S18F12Or2Cr2241St01SN,Or2Cr2241St01,Or2,Cr2241,St01,2017,5,2017/5,Spring,1.683872592,6.693033609,1.683872592,32.04713732,23.82028691,21.38599768,23.5773,33.4518,8.1726,0.031562101,0.522830005,0.554392105,0.036763809,0.876258333
S18F12Or2Cr2241St03SN,Or2Cr2241St03,Or2,Cr2241,St03,2017,5,2017/5,Spring,0.897016241,0.799245154,0.897016241,38.45358803,39.08415493,17.33574726,23.7723,34.1528,0.0053603,0.186216394,1.527465208,1.713681602,0.078879532,0.530691667
S18F12Or2Cr2241St05SN,Or2Cr2241St05,Or2,Cr2241,St05,2017,5,2017/5,Spring,1.532796173,6.144390484,1.532796173,24.19084796,14.07117655,14.04673995,25.2855,34.4413,0.044301,0.063124201,1.107824952,1.170949153,0.055862799,1.0552125
S18F12Or2Cr2241St07SN,Or2Cr2241St07,Or2,Cr2241,St07,2017,5,2017/5,Spring,1.169793109,6.833975765,1.169793109,24.45523563,24.64821744,11.02428363,25.3139,34.374,29.02,0.070488691,1.376202259,1.44669095,0.118791526,2.320233333
S18F12Or2Cr2241St09SN,Or2Cr2241St09,Or2,Cr2241,St09,2017,5,2017/5,Spring,1.479289941,8.600909137,1.479289941,10.79391846,4.952815211,7.413428429,20.6365,34.5641,7.9804,0.064176271,2.606178364,2.670354636,0.385687681,1.481
S18F12Or2Cr2241St11SN,Or2Cr2241St11,Or2,Cr2241,St11,2017,5,2017/5,Spring,1.500272777,2.079756206,1.500272777,11.14358589,6.590166689,6.577352375,22.9742,34.4799,0.35753,0.136769103,1.856109556,1.992878659,0.24881158,1.2033125
S18F12Or2Cr2243St01SN,Or2Cr2243St01,Or2,Cr2243,St01,2017,6,2017/6/7,Summer,3.311353813,13.32433341,3.311353813,103.8295535,28.3792358,91.12798539,24.3885,29.9792,11.383,0.656255192,0.441187384,1.097442576,0.0725058,2.96898463
S18F12Or2Cr2243St03SN,Or2Cr2243St03,Or2,Cr2243,St03,2017,6,2017/6/7,Summer,1.531747031,0.883466686,1.531747031,93.6713862,152.4945411,25.42008411,24.5873,33.3038,1.888,0.045688653,0.50658556,0.552274213,0.010357971,0.977366667
S18F12Or2Cr2243St05SN,Or2Cr2243St05,Or2,Cr2243,St05,2017,6,2017/6/7,Summer,0.445885266,0.19250636,0.445885266,41.64624039,38.97029437,20.5281492,25.5296,34.3432,1.3698,0.004153514,0.988871401,0.993024914,0,0.246917031
S18F12Or2Cr2243St07SN,Or2Cr2243St07,Or2,Cr2243,St07,2017,6,2017/6/7,Summer,1.076419489,13.06018145,1.076419489,29.97286791,12.82661876,21.79279216,27.2802,34.1864,1757.9,0.029074597,0,0.029074597,0.020715943,0.96833
S18F12Or2Cr2243St09SN,Or2Cr2243St09,Or2,Cr2243,St09,2017,6,2017/6/7,Summer,1.531747031,0.883466686,1.531747031,26.25726761,11.08875457,20.18968953,27.3348,34.2958,189.36,0,0.055745144,0.055745144,0,0.195133664
S18F12Or2Cr2243St11SN,Or2Cr2243St11,Or2,Cr2243,St11,2017,6,2017/6/7,Summer,0.923244786,0.433139309,0.923244786,26.34913111,12.93607365,20.09288799,26.5848,34.0084,12.208,0,0.005161775,0.005161775,0,0.349727845
S18F12Or2Cr2245St01SN,Or2Cr2245St01,Or2,Cr2245,St01,2017,6/18,2017/6/18,Summer,2.098283604,8.930920039,2.098283604,57.20875298,57.92583343,31.28314588,24.1398,32.6619,22.393,0.178921418,0,0.178921418,0,0.2705
S18F12Or2Cr2245St03SN,Or2Cr2245St03,Or2,Cr2245,St03,2017,6/18,2017/6/18,Summer,0.524570901,6.0570751,0.524570901,104.7551394,66.92716652,70.95379939,25.3129,33.7004,355.53,0.033462403,0,0.033462403,0,0.2507
S18F12Or2Cr2245St05SN,Or2Cr2245St05,Or2,Cr2245,St05,2017,6/18,2017/6/18,Summer,1.557975576,0.510485614,1.557975576,80.53392502,55.94440964,46.7119283,25.7953,33.4947,1.7197,0.089153915,0,0.089153915,0.030142272,0.1469
S18F12Or2Cr2245St07SN,Or2Cr2245St07,Or2,Cr2245,St07,2017,6/18,2017/6/18,Summer,1.652398338,1.839123257,1.652398338,19.9097487,5.292796997,15.38729604,27.5066,34.9407,975.29,0.100500676,1.136510704,1.237011381,0.105347958,0.2097
S18F12Or2Cr2245St09SN,Or2Cr2245St09,Or2,Cr2245,St09,2017,6/18,2017/6/18,Summer,0.648369634,9.318682849,0.648369634,96.22047611,69.66868982,60.21712585,27.0534,33.6898,1.4521,0.021192324,0,0.021192324,0,0.2825
S18F12Or2Cr2245St11SN,Or2Cr2245St11,Or2,Cr2245,St11,2017,6/18,2017/6/18,Summer,0.897016241,2.182884613,0.897016241,80.78428952,112.1744184,25.08127872,24.4732,33.9304,372.52,0.025576943,0,0.025576943,0,0.2582
S18F12Or2Cr2248St01SN,Or2Cr2248St01,Or2,Cr2248,St01,2017,7,2017/7,Summer,1.529648747,9.17430308,1.529648747,58.51505912,48.80167652,36.67311026,27.0281,25.4836,172.48,0,0,0,0,8.440905
S18F12Or2Cr2248St03SN,Or2Cr2248St03,Or2,Cr2248,St03,2017,7,2017/7,Summer,1.809769608,0.515642035,1.809769608,32.87345112,45.2274767,12.62845218,26.8437,34.2003,1.0233,0,0,0,0.02,0.109519086
S18F12Or2Cr2248St05SN,Or2Cr2248St05,Or2,Cr2248,St05,2017,7,2017/7,Summer,0.52981661,0.381575106,0.52981661,40.87914581,35.31994291,24.89770152,28.6547,33.037,0.63058,0,0.063961629,0.063961629,0,0.06488642
S18F12Or2Cr2248St07SN,Or2Cr2248St07,Or2,Cr2248,St07,2017,7,2017/7,Summer,0.702925007,0.55001817,0.702925007,32.23573065,34.65616093,16.56689194,29.1828,33.8793,1253.3,0,0.123685803,0.123685803,0,0.19959603
S18F12Or2Cr2248St09SN,Or2Cr2248St09,Or2,Cr2248,St09,2017,7,2017/7,Summer,1.657644047,0.687522713,1.657644047,33.88008341,23.71686103,22.20350726,28.8477,33.5281,254.97,0,0.065460651,0.065460651,0.08,0.434773308
S18F12Or2Cr2248St11SN,Or2Cr2248St11,Or2,Cr2248,St11,2017,7,2017/7,Summer,1.11209031,0.343761356,1.11209031,21.68804483,27.37409231,8.551724519,28.1803,33.9234,1.6129,0,0.065460651,0.065460651,0.08,0.434773308
